job_title,company,location,job_type,salary,posted_date,description_summary,key_skills,contact_emails,email_apply_required,application_channel,apply_url,source_url,scraped_at,status,applied,flagged
Video Editor,Digital Shift,Unknown Location,N/A,N/A,N/A,"Can you feel the exact frame where a cut should land—and turn hours of raw footage into a story viewers can't look away from? Do you know that the magic isn't in the footage, it's in the rhythm—the breath between words, the perfectly timed B-roll, the cut that hits right when the viewer's attention starts to drift? If you live for the craft of the edit—and you're tired of endless revision cycles that water down great work—your next big opportunity awaits at Digital Shift! Join our team of content, social, and video creators as a Video Editor, where you'll be the creative force behind authority-style YouTube videos and talking head productions that build trust, drive views, and grow audiences. In this pivotal role, you'll transform multi-camera footage and raw audio into polished 16:9 long-","University or College degree in Film Production, Digital Media, Communications, or a related field. | Demonstrated experience with LUTs and professional colour grading workflows. | Strong skills in multi-camera angle editing and syncing footage using audio tracks.",N/A,no,platform,https://ca.indeed.com/viewjob?jk=ca86d811693b482f&q=youtube+video+editing&l=Remote&tk=1jnohqskskdd9800&from=ja&alid=6591f75a40003a09ac773b0b&g1tAS=true&xpse=SoDG67I3k-fZQqXVnJ0LbzkdCdPP&xfps=5d120c2e-0b16-490c-bdc3-3cef39d3af0f&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jnohqskskdd9800&xkcb=SoAl67M3k4rkfN0pzJ0BbzkdCdPP,https://ca.indeed.com/viewjob?jk=ca86d811693b482f,2026-05-06,saved,,
Social Media and Sales Coordinator,Marda Management,Unknown Location,N/A,N/A,N/A,"Job Overview  BPS is hiring a Social Media & Sales Coordinator to help grow our lawn care, pest control,  and wildlife service business.  This is a hands-on role for someone who can create content, manage social media, respond to leads, send quotes, and help turn attention into booked jobs.  You will be filming real jobs, editing reels, posting content, answering customer questions,  following up with leads, and sending quotes using our established price lists.  Responsibilities  Create and manage content for Facebook, Instagram, TikTok, and YouTube Film BPS team members on job sites Edit and post reels, stories, shorts, and customer education content Promote lawn care, pest control, mosquito, spider, tick, and wildlife services Help organize and monitor paid Facebook/Instagram ads Respond","Create and manage content for Facebook, Instagram, TikTok, and YouTube | Film BPS team members on job sites | Edit and post reels, stories, shorts, and customer education content | Promote lawn care, pest control, mosquito, spider, tick, and wildlife services | Help organize and monitor paid Facebook/Instagram ads | Respond to inbound leads from social media, email, website, and phone | Answer basic customer questions | Send quotes using established BPS pricing",N/A,no,platform,https://ca.indeed.com/viewjob?jk=7976961f0953d260&q=youtube+video+editing&tk=1jno1ak7a2jli000&from=ja&alid=64e7765355f0fe5ab73306b9&g1tAS=true&xpse=SoBF67I3k-fYJsAcd70LbzkdCdPP&xfps=03b6405c-d983-4fa9-baf8-f71ef3898465&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jno1ak7a2jli000&xkcb=SoD967M3k4KlQQ6rax0SbzkdCdPP,https://ca.indeed.com/viewjob?jk=7976961f0953d260,2026-05-06,saved,,
"Website Developer, Content Creation, Social Media Management, and Graphic Designer",ATS HEALTH AND BEAUTY CARE CORP,"191 Rowntree Dairy Rd, Woodbridge, ON L4L 8B8",N/A,N/A,N/A,"Job Summary We are seeking a dynamic and creative Web specialist and Social Media Manager to lead our digital marketing efforts across various platforms. The ideal candidate will develop and execute engaging social media strategies to enhance brand awareness, drive traffic, and increase customer engagement. This role requires a strong understanding of e-commerce, SEO, and digital marketing trends, along with proficiency in graphic design and analytics tools. The Social Media Manager will play a pivotal role in shaping our online presence and supporting overall business growth through innovative content creation and targeted advertising campaigns.  Responsibilities  Develop, implement, and manage comprehensive social media strategies aligned with company goals Design,build and maitain a pro","Develop, implement, and manage comprehensive social media strategies aligned with company goals | Optimize on page SEO best practices including metadata,keyword strategy and site structure. | Create compelling content tailored for platforms such as Facebook, Instagram, Twitter, LinkedIn, and others | Design eye-catching graphics and visual content using Adobe Photoshop, Adobe Illustrator, and Adobe Creative Suite | Manage social media scheduling tools like Hootsuite and Buffer to ensure consistent posting schedules | Monitor social media channels for customer engagement, respond to comments, messages, and inquiries promptly | Conduct keyword research to optimize content for SEO and improve organic reach | Execute paid advertising campaigns on Facebook Advertising and other platforms to boost visibility and conversions",N/A,no,platform,https://ca.indeed.com/viewjob?jk=4708281deb1adcc6&q=web+designer&l=North+York%2C+ON&tk=1jnni9rcvgcbu800&from=ja&advn=7572796451579697&adid=461082274&ad=-6NYlbfkN0C3efOFlnn_xg4anbWNMhhS_J-5UCCbtkCOspirCAbbT4AR5s8p4K8ysix4bGyNEr_8nd47ZJfWE7y_jFlqbcIcJavIIYuC-OyzAY7cLk-HR8ZoUX1zJbQ3ErFvOd0Wbu5SchZ6lIHNHwMshWe2ou5GsOYrLHfj-fgN8q2mq1oYeP70kdQlkI3BGYGYBV6U6SbFnzvxWZZqFzqudBVgNSg-BkL6NRPT92qPrLaPdr6dS7lbSavyjOkrIuay9ev-3FrvHAEyA4FSh0yYLUbl_vLDFKOR4tktu-n8c3z5MTUYX0BysYdJbfOM_vjVklkxOSXJbrAx4U_QvpXlZfqhaLa89OOoP7RmTq2LEeSdkHJ9R8mSpTPmRJXeTeZ3QPXRx2rI39u6G26Cd9CqCXyCPDu0b3bxiK5AsgExS7MZL1zUjieOu4KtBQindxfPzcSCgUAMMDG82-njl7mzWQYwYcGPXbZOnNrg8lCQh8c98wj6_QzqRvSUX-cMFxD-fT2lwYXrVee41NLj81OZIxQqTfdpZEerB1cAjzzalGXLyFUQ-SdF3ydR0kBR3C2k0oWNxgs%3D&alid=682c8e73b121ee5d01cdb8b4&pub=4a1b367933fd867b19b072952f68dceb&camk=C3EPSzFlQw8W8pEpykgKNg%3D%3D&xkcb=SoBm6_M3k3soW4WsRx0HbzkdCdPP&xpse=SoAZ6_I3k-fUNHATCL0NbzkdCdPP&xfps=e988ec4d-329a-4aa3-aab7-d876685f9c30&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails,https://ca.indeed.com/viewjob?jk=4708281deb1adcc6,2026-05-06,saved,,
Software Developer,GuruLink,"Toronto, ON, CA",FULL_TIME,CAD 0.00/hour,2026-05-05T00:00:00-04:00,"Search Jobs Search Employers Salary Tools Resources FR Post a Job Log In Sign Up Job Title, Keywords, or Employer City, Province/Territory or ""remote"" Find Jobs Software Developer GuruLink - 121 Jobs Toronto, ON Apply Now Am I a good fit? Posted yesterday Job Details: Full-time Experienced Location: Montreal, Quebec Our client is a global investment management firm. As a technology and data-driven firm, they design and build their own cutting-edge systems, from high performance trading platforms to large scale data analysis and compute farms. The Data Products and Services team uses some of the most cutting-edge technologies and cloud offerings to design, build and maintain web applications and other data driven products. Work with the latest technologies to improve the tech stack, knowled",Search Jobs | Search Employers | Salary Tools | Salary Guide | Income Tax Calculator | Salary Converter | Minimum Hourly Wage | Cost of Living Calculator,N/A,no,platform,https://www.careerbeacon.com/en/apply-4/2499823,https://www.careerbeacon.com/en/job-4/2499823/gurulink/software-developer/toronto-on?search_type=vector&cb_uuid=eyJ0eXAiOiJqd3QiLCJhbGciOiJIUzI1NiJ9.eyJlbWFpbCI6ImtrdmFzYW44NTk5QGdtYWlsLmNvbSIsInNpdGVfaWQiOiI3IiwidWlkIjoiMjgyMDM1ODUiLCJzZWFyY2hfYWxlcnRfaWQiOm51bGwsInNlYXJjaF9hbGVydF9sb2dfaWQiOjE1MjgyNDM5MH0.DB5VPAWXwF5dIc76xOrY4qDfDb5PmR1n0Aa5zuVPx00,2026-05-06,saved,,
Junior Software Developer,LoopX,"90 Allstate Parkway, Markham, ON L3R 6H3",N/A,N/A,N/A,"Junior Software Developer Location: Markham Company: LoopX Date posted: April 30, 2026  About LoopX LoopX is a Canadian technology company developing AI-based systems that improve safety and productivity in the mining industry. Our solutions are deployed on both mobile equipment and stationary infrastructure, helping mining operations work more safely and efficiently.  Role Overview  We are seeking a highly capable Full Stack Software Developer with 3–5 years of professional experience in building and delivering web applications. The ideal candidate has strong frontend and backend expertise, writes clean and modular code, and is comfortable working across the full development lifecycle.  Responsibilities  · Design, develop, and maintain scalable web applications across the full stack  · Bu",fullstack software: 3 years (required),N/A,no,platform,https://ca.indeed.com/viewjob?jk=20ef9e0a3a5d6a88&tk=1jnmkos5kov91801&from=jobi2a&advn=4868943416598694&adid=461338511&ad=-6NYlbfkN0DmLrkmGsBrKdftynGwdXFeBg6Jt6UAl_ybHoEp9kA6t4uZri9mjBR0Pd6g5BFBp84cI3ILnuLnnP2PddyVR8xDzSc3XeHTIrDRQIP_sSa6IKH7ORgvPT8LleSZX7-HP3p26sePts6MMBq1kL9P8x1qYNWTZO_xfktgqKUIPekdDOPxkewoFSnn0qOnePd5kXY7_yKrvkOqJ2ZHCfzOrVSDVSiSzEb6MO7Y4-IQRD7F-dmExHBzo6bPPqN1BLRUVjhbCbt8Egx4WJwtZKboF-I-yKGlscZwxqcad02hsUMZ0wI0mgnrYaEk7DR7FsRdPDUlDPb5gWQ16eQxf5QV4UkPfcIAhLy-n24paw7KbD-HZ18i-eWh0zA8MogPbbsQbZZeKPMQ9XbQiQzgN9mq588lTCqw37Bvbuieb5pImu8mDuNx7zG0cFaNBFanh0it2wJAYXcYBiSbACjNvlwXwO9WtwXS0SI2oGCgc7MH0PCybV0qEn0iNYbJZL-nLjYNHUWtzygHTl1DRLSaJs8bMq7bNT8J6NeL4_8A1krmFeAedpmko6tDyX6edoamBH5nK2OhUgyRoLC_1A4QNAnbdkD4RJa7dgG8bZGWCup7e3q4xQ%3D%3D&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=C3EPSzFlQw9YmDaZIpnAMw%3D%3D&jrtk=5-cmh1-1-1jnmkoqtc2fpk002-20ef9e0a3a5d6a88&xkcb=SoDQ6_M3k2hsVyykTZ0KbzkdCdPP&xpse=SoD26_I3k-fvnhxbgR0PbzkdCdPP&xfps=31e2d3a7-ad43-444d-af5a-0bab3272c267,https://ca.indeed.com/viewjob?jk=20ef9e0a3a5d6a88,2026-05-06,saved,,
Full Stack Developer,Scaletechnics Ai Solutions,"13737 96th Avenue, Surrey, BC",N/A,N/A,N/A,"We are hiring. Full Stack Software Engineer at Scale Technics.  Vancouver, BC. On site or hybrid. Full time. Open on seniority.  What we do  Scale Technics is a product studio building B2B software for industries the incumbents ignored. We have three flagship products in active development:  Central Tenders, Canada's leading bids and tenders platform (live, growing) FinBox, a finance product (pre launch) A traffic control application for the traffic industry (pre launch)  What you will do  Help us finish these products and get them to market. You will work across all three codebases, own features end to end, and ship directly to customers.  Stack  React and Next.js TypeScript Supabase and Postgres Vercel n8n and Lovable where they make us faster  What matters  You ship You learn fast You c","Central Tenders, Canada's leading bids and tenders platform (live, growing) | FinBox, a finance product (pre launch) | A traffic control application for the traffic industry (pre launch) | React and Next.js | TypeScript | Supabase and Postgres | Vercel | n8n and Lovable where they make us faster",N/A,no,platform,https://ca.indeed.com/viewjob?jk=818f3ea2ad9402c2&tk=1jnmkos5kov91801&from=jobi2a&advn=4709311387837733&adid=461296228&ad=-6NYlbfkN0DUD0izaXK26q-RZa0Wc8TPwyxBgC4mUq0XstNIEgA4TMtnd5NfQZCAzE2QCyNv9WbP1NvNReHgUYOKd-NRsLLFXPmoNWi_gMYuH6N5xP8TaKWanqRxbaqvZglE9fzdY4m-Jtfqf4GHycTHTin34zw_U0C2Mqde6s5NmGW-ZzEXl3MuY6jdAd-k7zstqpCh9YNFo5iJbfCP8ZVMgb9jwqfchQQVpzd4pxhE_AcQpjGHVw692RTBnfke7LslwCjWS9f6jjpH7qHvo3S3IRQH54kNLDuY5969RADh53Yrn-sPYMuecIGqwxrgUjn_za6yz01FpzncUNQzRr8_DqpzSMAW2afGZK_tWzCdiU3codW0vZD6nDt0U9M0k95kX86hQ5W9h3o8hYG9J09iz2brJs1kTrKXqRZ5MZc1sw6mGmHaGf7Q7qEiah_RokQ7FlpmHL20Bcb4l70f-6RgQTm74NIzQqXU8OAUVCYTf_qkTxSPKtEvFBY4QaobK0hq3jElTF7KexbFvgQU4v8g9eOfLanr6JRKkp7SHcashvgcd9PiSVoZkZBjwgNCK9_LC6MdsWHjVhVrO0o7gNHuT1hqhj3ADNQ5kiKBit21Zx_hujWTEg2lo5PSvfxh&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=C3EPSzFlQw9kpkv6PTZaQg%3D%3D&jrtk=5-cmh1-1-1jnmkoqtc2fpk002-818f3ea2ad9402c2&xkcb=SoAh6_M3k2hsV9ykTZ0JbzkdCdPP&xpse=SoBc6_I3k-fvTrx7tR0PbzkdCdPP&xfps=dfd01650-10ee-402e-bf0b-2b5da6d54c23,https://ca.indeed.com/viewjob?jk=818f3ea2ad9402c2,2026-05-06,saved,,
Web Content Developer,Robert Half,Unknown Location,N/A,N/A,N/A,"THE ROLE: We are seeking a Web Content Developer to support the ongoing development, maintenance, and optimization of digital platforms. This role partners closely with marketing, digital, and technical teams to ensure web content and campaigns are accurate, engaging, and aligned with business objectives.  Key responsibilities include: Maintaining and updating multiple web properties within a custom CMS Developing and supporting HTML/CSS for websites, landing pages, and emails Creating and managing landing page and digital campaign content Testing, debugging, and quality-checking digital assets across web and email Supporting front-end frameworks (e.g., React, Angular, TypeScript) Managing web analytics and assisting with performance reporting Supporting email templates and digital marketi",,N/A,no,platform,https://ca.indeed.com/viewjob?jk=4a8d3149fcfc586d&tk=1jnmkos5kov91801&from=jobi2a&advn=8562485526198105&adid=458143279&ad=-6NYlbfkN0CkZrmoNIfNnv5K6heJNTgcHXgr0H7cYcF0-Q8gfPuoOXCpzVWnuceNVyWd-DEfC3fuo4N-0X6C1_sp0AeQQFbPZALqPmHAmRRbDkr2DAevudQATrE4Vs5SOmlif1nU2BfwW2nw817R3UjCJDGArC03SJKU-v4QEbcc81iu9BaPZMAhzx0glTYpS2ijdvCnEC4OqK50_U3l_ZWMTDEY7Pgs4x_vNu4XJH8mrIYzbpm1il0pkKRFEm8oNVS2Cw_o4Nw7LeyImJTVitftMFo8XLgS7mrx8rTMoxjP17rXy_hfv-BzrHYsk5XzIQUT_yfq3M2VINOaNptedhN80gDJiQq3BStJ_LeAMcEzwiEDD-CsUeGtCVvp7mqdBge-gtp3kQf96OqlV23Pop-JYuv9XKlK-vlre0QiIeetC4bnlq5whHUrw7qF2RakqTOZn_lA3ejTmbu_AfSMHwyHYd8OjC3CF0h28yo9J3cju4-ePszAI-iYImof5F8Flq59WEhBPnl4TKbcMMw6LE5cJF7mIsJtW3opatGZrIrP-X9H2b9HfSPoaKF70G5kR_csBxwDoQQQjKHjUXNWy4Al50S-y6RK1aOv6HHGxG6Pbv0RIiHtDg%3D%3D&sjdu=IyHYSXDh_4AN8NCrh509p-JlInlDcT1eKxVH2aGN3gTvEifQRIvqiv2kgaB8qjnQxe6Y6HEZUTO5iWsUco-vA6E84kAOzt_coM4qJoJz_pChhzxy63BjOt8hCTAkGTZ0DYR5Xwq0Y6bgLA9VTVANzw&acatk=1jnubo639i954802&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=UoKtGZLa3XKjKEuCrcIBuw%3D%3D&jrtk=5-cmh1-1-1jnmkoqtc2fpk002-4a8d3149fcfc586d&xkcb=SoAy6_M3k2hsV8SkTZ0KbzkdCdPP&xpse=SoAV6_I3k-fvGBwH6J0PbzkdCdPP&xfps=c2a8c68a-baba-4886-85ea-114a829e532b,https://ca.indeed.com/viewjob?jk=4a8d3149fcfc586d,2026-05-06,saved,,
"Scrum Master, IT Application Management",First National Financial,"100 University Ave Suite 700, Toronto, ON M5J 1V6",N/A,N/A,N/A,"We are hiring a Scrum Master, IT Application Management! Reporting To: Assistant Vice President, IT Applications & QA Full-Time/Part- Time: Full-time Posting Date: April 27, 2026 Closing Date: May 11, 2026 Salary Range: $66,021 - $88,021 Hours of Work: 8:30 a.m. – 5:00 p.m. Grade: 12.4 Office Location: Toronto, ON Great location! Steps away from the main public transit station  What we offer: Highly competitive compensation package which includes, base salary, bonus, benefits, and career advancement opportunities!  Eligibility for benefits is dependent on the terms of employment The Opportunity: The Scrum Master helps oversee the development team and runs related ceremonies such as the daily Scrum, Sprint Planning, Sprint Review and Retrospective. They are knowledgeable in agile methodolog","Eligibility for benefits is dependent on the terms of employment | Responsible for ensuring Scrum is understood and the team adheres to Scrum theory, practice, and guidelines. | Works with Agile coaches and other Scrum Masters to grow within the role. | Contributes to the advancement and improvement of Agile practices within the organization. | Facilitates and supports all scrum events: Sprint Planning, Daily Scrum, Sprint Review, and Sprint Retrospective. | Adhere to policies/procedures to ensure AML requirements are met, when applicable | Strong verbal and written communication skills | Strong organizational skills",accessibility@firstnational.ca,yes,email,https://ca.indeed.com/viewjob?jk=95af65326d01ee07&tk=1jnmkos5kov91801&from=jobi2a&advn=6939935586436138&adid=406172274&ad=-6NYlbfkN0BQ_BraZoLTDvZWPQl85WjOpBi_dfW5zt0PPoUqqFjbQOmTfvGiHpaTkbXWovXvyaQVFeX0hyJSIlUusbJEE4S7ybL0zY-t5fm4SqUIzFWkmMvXPF2znirkV9DNlxOvTGV3ARGyUg9II3Imk93vCXbECOx2gqQLgwsXWJKzt6qGP8hRICPpP3ZCcLxmmwSUsQKIj9cjm4MsSoEfdPNRV9YgXucR3apM9dTq9IXWykTBfYaRjZyYgqdpxt5SPU_JXd-z8jnf2WQLhUqjFhp0A-GDZe2FygwjpRGQw0kLIjUuUIL81vzdw9l3b79bqQD8G1iwC8vk_uc0ailpbmdq2Cl7pg5eRLtTo1JSnfo5cyx3ddIjNNrI5zw4xEJ894AIXDP5amrakDOZIESRg_Wlr7uzvdwhoJg84XoFOA9O348lLZFkcZmkWa015XLwhadO7Ia4X3NA9RoOoEMCLxijc1AUmmzlv-cFg1lq2JOR21xBwnwg0QwWy68_IRO98kYuFzyZnYZ9cPeKy0j0c-1Ge8PYQT2MV2AsHvGoH24ove-ST3IC2mGm8ISdxgMpbE3_h66_sFuD4l7qeRh4rMwHybDRdM2LPEMstlCXYaVFij-f2A%3D%3D&sjdu=bQ-p5nF_-wQR0tr5g4eTxpdoyxDTxCHKKY_s4ZX6lOQLEHbnzUZlA-ixeBHgMHwPrwxj9vKXd0w303x639IBj6tOzg9Cuj8A6RwJ2EgvGlk&acatk=1jnuboipi23b4003&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=H-lBaXMUocKei-AwCPTlAA%3D%3D&jrtk=5-cmh1-1-1jnmkoqtc2fpk002-95af65326d01ee07&xkcb=SoCk6_M3k2hsV8ykTZ0DbzkdCdPP&xpse=SoDE6_I3k-ftgsATCL0ObzkdCdPP&xfps=9070003b-18bf-4b9d-9372-2950f3bcb513,https://ca.indeed.com/viewjob?jk=95af65326d01ee07,2026-05-06,saved,,
Content Creator,Swift Hockey,Unknown Location,N/A,N/A,N/A,"The Role  You create content that resonates with hockey players and builds our brand. At Swift Hockey, content isn't just posts—it's how we connect with our community, tell our story, and drive engagement. As our Content Creator, you'll produce social media content, videos, written material, and whatever it takes to bring Swift Hockey's message to life across all platforms.  Who We Are  Swift Hockey is a fast-growing North American hockey equipment brand backed by founder Zechariah Thomas (Forbes 30 Under 30). We're profitable, scaling, and built on authenticity. Our content is real, unfiltered, and speaks directly to hockey players—no corporate BS.  What You'll Do  You'll wear multiple hats as our Content Creator, managing everything from concept to execution across all content formats an","Creating and posting social media content (TikTok, Instagram, Facebook, YouTube) | Filming and editing videos for marketing, product features, and brand storytelling | Writing engaging copy for social posts, emails, and website content | Brainstorming and executing content ideas aligned with brand strategy | Staying on top of trends and platform algorithms to maximize reach | Collaborating with marketing, product, and leadership on messaging | Organizing and archiving content assets and project files | Analyzing content performance and iterating based on what works",jobs@swifthockey.com,yes,email,https://ca.indeed.com/viewjob?jk=13eefdae3d3bdaa3&q=youtube+video+editing&tk=1jnqduhin2jli001&from=ja&alid=64e7765355f0fe5ab73306b9&g1tAS=true&xpse=SoAk67I3k-fIinRUKp0LbzkdCdPP&xfps=b098cd4d-e6ad-4e80-8329-54f96f76a172&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jnqduhin2jli001&xkcb=SoAX67M3k6T1nj2QWZ0JbzkdCdPP,https://ca.indeed.com/viewjob?jk=13eefdae3d3bdaa3,2026-05-06,saved,,
Real Estate Videographer,The Media Firm.,Unknown Location,N/A,N/A,N/A,"Company: The Media Firm. Location: Toronto, ON (On-Site + Travel Required) Job Type: Part-Time (High Growth Role | Path to Full-Time Leadership)  About The Media Firm.  The Media Firm. is a Toronto-based content marketing agency specializing in high-performing construction and real estate content for premium brands across the Greater Toronto Area. We work with custom home builders, contractors, interior designers, and luxury real estate professionals on a retainer basis, focusing on long-term brand growth, consistency, and performance.  In addition to client work, we operate a growing luxury real estate media platform with strong audience reach and deep industry relationships. This platform drives brand exposure, partnerships, and expansion opportunities.  We are now entering a growth phas","Higher content standards | Original content series | Stronger content systems | Expansion across Canada and eventually the U.S. | Leading content direction across client accounts and internal brands | Managing and guiding the content team | Executing content when needed (shooting, directing, overseeing production) | You lead the team",N/A,no,platform,https://ca.indeed.com/viewjob?jk=917538e20e9b6c0a&q=youtube+video+editing&tk=1jnqduhin2jli001&from=ja&alid=64e7765355f0fe5ab73306b9&g1tAS=true&xpse=SoCN67I3k-fHWsQBxp0LbzkdCdPP&xfps=cf01172a-0ea3-4371-af3f-40bbe0245df7&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jnqduhin2jli001&xkcb=SoDE67M3k6T1niWQWZ0HbzkdCdPP,https://ca.indeed.com/viewjob?jk=917538e20e9b6c0a,2026-05-06,saved,,
IT Support Engineer,Robert Half,Unknown Location,N/A,N/A,N/A,"This role would require 5-days in office and our client is based in Etobicoke. ﻿ We are looking for an IT Support Engineer to provide dependable technical assistance to employees in Etobicoke, Ontario. This role is suited to someone who enjoys solving a wide range of desktop and user support issues, delivering responsive service both on-site and remotely, and helping staff stay productive with minimal disruption. The successful candidate will combine strong troubleshooting ability with a detail-oriented, customer-focused approach in a fast-moving environment.  Responsibilities:  Deliver front-line technical support to end users through in-person and remote channels, resolving day-to-day IT issues efficiently. Investigate and fix problems affecting computers, applications, connectivity, and","Set up, configure, and roll out laptops and mobile devices to support new and existing employees. | Maintain user productivity by supporting Microsoft 365 applications, including Outlook, Teams, Excel, and Word. | Monitor, update, and manage endpoints through tools such as Microsoft Intune and ManageEngine. | Record, prioritize, and close support requests in Jira while keeping accurate documentation of actions taken. | Follow up with users after service delivery to confirm issues have been fully addressed and expectations have been met. | Diploma or degree in Information Technology, Computer Science, or a related discipline is preferred. | Minimum of 2 to 5 years of experience in IT support, service desk, or desktop support environments. | Demonstrated ability to troubleshoot hardware, software, networking, and end-user device issues effectively.",N/A,no,platform,https://ca.indeed.com/viewjob?jk=5a71dd1d161c95fe&tk=1jnp79n94idp8801&from=jobi2a&advn=8562485526198105&adid=458143249&ad=-6NYlbfkN0CkZrmoNIfNnv5K6heJNTgcHXgr0H7cYcF0-Q8gfPuoOXCpzVWnuceN6644YnAegcLyEu19UOevyquecouf1Cxip5HsqHJleBVn338umR8ihu8gIGhMuHDLlzl85WAsA4Hf-JuTzwaGSyN-LQkH1Wxk9n1SXR8MlV79h3iN1Z_iFxbFcrtiherNeUqA2SXr5zGp38PhBiW7tUxk86vQE35RoLHA7qaCm6zyMonjQBH5GK5hucEV8nx61QD5DazAYfjlBhXSXxxCTwTqQu2vxVHRKZSst-j2sin9vNbWTjP0r3-OYfmN4nY5nWv6q7KagbWMhN5O_YSBGvCLRbseeupt39bEJcPvc-I1bkYtC_tVmEfuqIKBqkjVc2-DJ2-wLf9XrNk4SCQAL3v7kbocnxXO8t-3uc4jCWenvFHmvio1JB87x5UbFZ-4O8fHLs4EJRDqySlaQDKmit3RK-vw-MjCnjGb8yskDJerBFg0VCVDa4yQ_egr7zXkrJfwspTUk2vqP8PP4lkFYCLsiuH6fXtw5XmIS1gyg0uatAf7ArIszwVS9J0IGNH_AqQfCsV_k6ps3M5_j-9K8QfoJG7EGQlf5wUJ35ovadPqtYwQEWXUSQ%3D%3D&sjdu=IyHYSXDh_4AN8NCrh509p-JlInlDcT1eKxVH2aGN3gSHMR-L4d_or-Cz3NoXQ25naBBHt0oBB1ZlLcNbM3bWcywbMJ5wk0LZjGbtV34dnyBg1p-PId8CPduehGMRy9-XcpTDJFWApQeETQW4oOvh3g&acatk=1jnubk7bt23b4004&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=UoKtGZLa3XLhkMRN7vvokA%3D%3D&jrtk=5-cmh1-1-1jnp79lt6kq1480a-5a71dd1d161c95fe&xkcb=SoAa6_M3k5GpNGWqhR0IbzkdCdPP&xpse=SoDw6_I3k-ffMLgTCL0NbzkdCdPP&xfps=d2f3df81-c1dc-41da-b1a6-8cc2a9af40ce,https://ca.indeed.com/viewjob?jk=5a71dd1d161c95fe,2026-05-06,saved,,
Social Media Coordinator,Digital Shift,Unknown Location,N/A,N/A,N/A,"Become the Engine Behind Every Campaign: Turn Coordination into Career Momentum! Did you know most candidates only read the first 50 words of a job description? Let's make these count: If you're the person who loves keeping things moving, finds satisfaction in posts going live exactly when they should, and wants to learn the social marketing playbook from the inside out, your next big opportunity starts here. At Digital Shift, we're searching for a Social Media Coordinator who brings more than just a ""checks the boxes"" approach. You're a calendar architect, a creative operations partner, and the steady hand that keeps every campaign running on time. If you're ready to join a high-performance team where your reliability gets noticed and your growth gets supported, keep reading. This could b","Remote-first & flexible: Enjoy the freedom to work from anywhere, with a team that respects your time and your output. | Make an impact: Your work keeps campaigns moving for real businesses and the customers they serve. | Collaborative culture: Work alongside passionate marketers, writers, designers, and SEO leads who love what they do. | Cut through the noise: Be part of a company that values results over agency jargon and puts people first. | Visual Storytelling: Source, edit, and design compelling graphics and photos that bring our clients' brands to life. | Promotional Strategy: Refresh monthly promotions to keep content relevant, timely, and buzzworthy. | Team Collaboration: Work closely with content, SEO, and design teams to amplify client messaging and drive results. | A creative, positive, and detail-oriented approach with a passion for storytelling.",N/A,no,platform,https://ca.indeed.com/viewjob?jk=095e0fd6b3142909&q=social+media+specialist&l=Remote&tk=1jnquios4g1qp800&from=ja&alid=658300af059718548496a27b&g1tAS=true&xpse=SoC467I3k-exoZAcd70LbzkdCdPP&xfps=eb28d2f0-69a2-44c4-b151-ab66da75a26c&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jnquios4g1qp800&xkcb=SoAd67M3k61E9Bw2I52vbzkdCdPP,https://ca.indeed.com/viewjob?jk=095e0fd6b3142909,2026-05-06,saved,,
