job_title,company,location,job_type,salary,posted_date,description_summary,key_skills,contact_emails,email_apply_required,application_channel,apply_url,source_url,scraped_at,status
Web Developer,Robert Half,Unknown Location,N/A,N/A,N/A,"Our client is seeking a skilled Full Stack Developer to support the development of modern, API-driven applications on a remote 12-month contract. This role will focus primarily on backend development using Node.js and GraphQL, with some collaboration on front-end components.  The ideal candidate is highly self-sufficient, comfortable working autonomously, and able to deliver high-quality solutions with minimal oversight.  Key Responsibilities Design, develop, and maintain backend services using Node.js Build and optimize GraphQL APIs , ensuring efficient data delivery and structure Collaborate with front-end developers to support seamless integration and user experience Contribute to front-end development where required, particularly in customer-facing applications Ensure code quality, sca",,N/A,no,platform,https://ca.indeed.com/viewjob?jk=1d019bd65240e5d2&tk=1jn479calg4ue801&from=jobi2a&advn=8562485526198105&adid=458143249&ad=-6NYlbfkN0CkZrmoNIfNnv5K6heJNTgcHXgr0H7cYcF0-Q8gfPuoOXCpzVWnuceN6644YnAegcIlyHKRfQ8KEHa9HC7WsMCVEsDfGF0i7zy5IOKtN8bjb8AJJRniG2bholujo3EDjE9wyqLCJjATLoazovtsQ4elhc-kM2WDloCIOdefsUbg5YAG1Ja0diqVtVbuZlICjKGhS2xTyzLmGhTPNVHkB__9m4n89ZBTD_AON2q5FfDeQkG7aeYIQZK_g5i34nbE1Dm5L6uJasZjKr_06b3L7M8HwSXMd3WJrHCkP1WdEsqyBLW5lqthtayvPC37K3DzRU3y-tzZ53-O8pru0eSuEGInU757usJfVNvi0iegfiOx36s2X0n4kSKczSglbmGjg1e7Cy-_ozgX0l1zTU1nXt-bnJ-xdPgGv-7JH-lmHmN4IIzEoE9DkGr4qe7-oaYr-Ub-x3YrKKrGNSoyNckQg8Vh8AmUDJTlUqAi4naPCSF4ZTVrfZXjGuxbkEHbdIs7-ileGWBfXXnR4ibrG9kIn_QPpRPyXd1TBYjtjbFplKYpcbTiODJpkbkDwBptxUsn3YLE0uq7pf7wWIO-bGWN9e8C9KRdEFYqhtUOczz0eKwdBA%3D%3D&sjdu=IyHYSXDh_4AN8NCrh509p-JlInlDcT1eKxVH2aGN3gRrmtHXw9yMuEu4V-1YX1bktmCOR0eaQduvDqFHDHLZzxZwROpzndbRbkz85ymV7BRga2CdXDGWpg1RykAv61DaWEZNm9P-JCen-7D7yJ__0A&acatk=1jnhj0gadkgom804&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=UoKtGZLa3XLhkMRN7vvokA%3D%3D&jrtk=5-cmh1-1-1jn479b8qmbr4801-1d019bd65240e5d2&xkcb=SoC-6_M3kkGqSr2kJp0QbzkdCdPP&xpse=SoBt6_I3kxuN0T20MZ0NbzkdCdPP&xfps=a4eb41b3-3436-43ec-9dd5-f3b374f7363d,https://ca.indeed.com/viewjob?jk=1d019bd65240e5d2,2026-05-01,saved
Computer Specialist,Micro-Vision Computers,Unknown Location,N/A,N/A,N/A,What is The Role In The Business  This is not for the faint of heart. This is an opportunity to be part of the core group of people developing and implementing a new business strategy that carves out a unique place in the computer market. If you want to work in a business where every decision you make and action you take has an impact on the business and its customers then read on.  Who you are as a person  You have the drive to take on tasks from all areas of the business and solve problems as they come at you with ease You are fun and enjoyable to be around Natural tendency to exceed expectations You’d describe yourself as a self-starter Hungry to get after opportunities and challenges Want to be a key person in scaling the business Desire to improve Display calm confidence Authentic in,You have the drive to take on tasks from all areas of the business and solve problems as they come at you with ease | You are fun and enjoyable to be around | Natural tendency to exceed expectations | You’d describe yourself as a self-starter | Hungry to get after opportunities and challenges | Want to be a key person in scaling the business | Desire to improve | Display calm confidence,N/A,no,platform,https://ca.indeed.com/viewjob?jk=c9d0809b48415b14&tk=1jn479calg4ue801&from=jobi2a&advn=75275515158824&adid=453537476&ad=-6NYlbfkN0B2V29d0YceXmantJiij3ct0K-fvC8HBEFjCv9T_RQq3H-_vYvELT7mApOEwHqEgKUXRt-BKKS-IcoMmFqDx11QgbjyuKx3FWRmv96Mu0p28rnth7MQUO3F_16pky9_Lv8oOXk-0qZ25poWB0F1ZSRWxUUoMqgQiyT351vZsyJcqniSCIFIf2-6NtjSaHkFJNc-I-1mCuPCZ2mzT4ZRfV9yAcC27g32a9tQZCa7rh8QNev9ksm7l0dd90N_cZW1HCAlsG4WUeP-8KB24VNbeiU6Gs6Eff47F6yAUfF80gqZpKVpqk4Mm-ZyC94uTiFelN4LkA2U_Sg_giO0juFsun5GDMt416XFZLC9EoSdYofkaSh90_QlidOt3CpRI_SskPAIBl7kX0tRJpIU4Pd8mCCmqba6vR52YyElCy3QZOXQ_3g-9RmNcKD_5St9lZ9BRVGxEwWnv4H9V9wbbcKZlKEBnERDIADSHH9M3A8-xR7gijRgdDLTSD3wqQgb1XSb6Cpc3u-4tCz70xCfbQcn0HL4djWj2og3QsPvcbqSH5EXLJRRNWFNkHFcz9nR8gn0cB09V3T0-P8QK0ZQntlBF4cNjtn5eP-88NFZWwDr5j2NUw%3D%3D&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=UoKtGZLa3XIRG9s7wszIew%3D%3D&jrtk=5-cmh1-1-1jn479b8qmbr4801-c9d0809b48415b14&xkcb=SoCB6_M3kkGqSq2kJp0GbzkdCdPP&xpse=SoDl6_I3kxuNDfgcd70PbzkdCdPP&xfps=d8f1e2e5-33a0-4430-a361-4c70b4cb9dbd,https://ca.indeed.com/viewjob?jk=c9d0809b48415b14,2026-05-01,saved
Software Test Engineer,Gatekeeper Systems Inc,"31127 Wheel Avenue, Abbotsford, BC V2T 6H1",N/A,N/A,N/A,"Who We are:  Building Safer & Smarter Communities  Gatekeeper is a leading provider of intelligent video and data solutions designed to provide a safer transportation environment for children, passengers, and public safety personnel on multiple transportation modes. The Company uses AI, video analytics, thermal cameras, and mobile data collectors to inter-connect public transit assets as part of intelligent transportation systems in a Smart City ecosystem. The Company is at the forefront of innovation and is utilizing new technologies to make cities more efficient and safer, such as its Automated Lane Enforcement solution for transit buses (ALE™). The Company’s video and data solutions and its Platform-as-a-Service (PaaS) business model are enabling the transformation of transportation sys",Casual dress | Company events | Dental care | Disability insurance | Employee assistance program | Extended health care | Life insurance | On-site parking,careers@gatekeeper-systems.com,yes,email,https://ca.indeed.com/viewjob?jk=27ebc6bd93946813&tk=1jn1st96d2j3b001&from=jobi2a&advn=830084688749757&adid=460045647&ad=-6NYlbfkN0DzD3BPHZKsr_JA2rkLNHdOal6twnuY58IV_m6sRRC6FgD0iVPrfleiFyVFuxrdnB9ctGFD6XwaI4TIub5lH3cILjn9c-6Qjf-iLotCHuGCNidyAkK4ZgkvMVCkaR39JSpoF5Fu8BTUD4XBLaMKYSOzL1MirF_-euUMNb8tB93JUG9F8ClrG4hRbXCrpoRD0fU7dfmW_7YnoUL9LHBNBL-vAK3Dm5ORA0P1igCMyxkrn9mHgaKcvxFCN8JfjbHMTxD2Jxt1giRo8Mo_D2gRZRkbdBMyhuDMl-MExwV7L5TtbT5AZ7i0dZyGxLDpnijVdpc7sfTzwH8ikQDMG-eCnNHZt6m17wo5zy1-1k6XTC_ISp6SY4O08dWk-lQ8Sfx2zLMmbFRimnQjtmERQtenZs5QeJeNd9sNugasLEPiz6Tyx92iY_hGVSRwSsZL0iwudtQPNvU3tFxab_rz4ZgEbP284-RF5st5Pz3t8ercHdVWZvqXAA6Kx3GXzVxQwUsUL_GMoJqAMBdFkYQ7OCE8dpcE8UamP8JXP5nVNK_p9PXoiZEifIU_5CKYDXVlPtEIXIPycr9x_ZNAytHHYjlqEtqDv9sRAhGWBlIPvGaerAdatcvIh2fRk7A3&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_jobmatch-en-CA_email&camk=C3EPSzFlQw_dK3yUpPIazw%3D%3D&jrtk=5-cmh1-1-1jn1st7h734lk005-27ebc6bd93946813&xkcb=SoBQ6_M3khx6jG2qEB0LbzkdCdPP&xpse=SoA_6_I3kxuDthwBxB0NbzkdCdPP&xfps=7f8234ef-78ee-49cd-85e7-9a5476dc19bb,https://ca.indeed.com/viewjob?jk=27ebc6bd93946813,2026-05-01,saved
IT TECHNICAL SUPPORT ANALYST,Confidential,Unknown Location,N/A,N/A,N/A,"Overview Upgrade and install hardware and software, performing troubleshooting to resolve IT issues.lManage metadata standards and ensure data quality across systems, including SharePoint document libraries. Build, deploy and enhance solutions on Microsoft Power Platform to streamline business processes and data management.  Duties  ●Upgrade, install and configure new hardware and software to meet company objectives; ●Build and optimize Power Automate flows for approvals, notifications, integrations, and complex workflows with the SharePoint platform; ●Develop and configure and maintain document libraries and site collections using a common metadata taxonomy approach; ●Respond to IT Help Desk tickets to troubleshoot and resolve network, hardware, and Power Automate workflow issues or malfu","●Upgrade, install and configure new hardware and software to meet company objectives; | ●Develop and configure and maintain document libraries and site collections using a common metadata taxonomy approach; | ●Integrate Copilot with Power Platform tools including building copilot agents; | ●Back-up support for other SaaS (Software as a Service) applications and; | ●Support other project initiatives and IT Help Desk ticket requests as required; | Education: College Diploma or University Degree (BA /Information Technology), Microsoft Certified Solutions Expert. | Work Experience: 5-7 years of experience in IT support, infrastructure, or security. | Dental care",N/A,no,platform,https://ca.indeed.com/viewjob?jk=ade8654a3c6d7536&tk=1jn1kn2r9pdjh801&from=jobi2a&advn=3329012238625229&adid=460289397&ad=-6NYlbfkN0Aiy4NCOfTwHj2WQVbww4TdnQB3GTZMZTLgzA-OpHgoTX6iNsHJMGE66UK9kllC7lmIVV67a9mQIBBdVcgNDHShdzYZKRJO4yXRD2Npru5XeennzTS5X3zZFSqUsLZ86BVauT7ScFCIZqVRi-u2UrILPd6DYeK7y76OIaNM8_lKOYhMsFXg1aXA4mFlexrYtV8o6YxjWTax5GJ-4I8egmea_2aDvBvFVzt3QDcEXkSqmtAsVSSzGsdmpMJtlJ0_xpXjknPzoW3hXzs3VMpjp5xtnG7KPuFCD-9OVaUk9GaqodiUTtXEDipEYc7UwkZb_Lcgei_T_00uNCUfK9OOaF16IEpimCNxIPQxehNjE_17mglKVoO4foIeDPF-7ZI0LSmFg4UFAYF9vz9cJmOmXjWFe55NSRwi-Ul0IROSMlkg07q1zGTayi_yroQSFH_iijpOlInmB9jzVjPxNtCtTx6HwlmCcLqlEMcPZ7pR6LkDMZebo1-U0Uym7mE0rxG6oP2dD7DI-sOjKQ_j_wVhbYdZMiLuVLtGSgjdvnrIyWCghClImQRhhIxl_Po98_jvXXTzJo1dt3iUBmWyEd_2_pUvDX0mxHOx-IModG99RCaZbY-pxb1M28M0&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=C3EPSzFlQw-_TE7OLOA0_A%3D%3D&jrtk=5-cmh1-1-1jn1kn12ij4nl802-ade8654a3c6d7536&xkcb=SoAZ6_M3khhTuRgiKT0GbzkdCdPP&xpse=SoCq6_I3kxuCL3zb5h0NbzkdCdPP&xfps=5c707f11-765a-4208-bb80-ee2119d03e5a,https://ca.indeed.com/viewjob?jk=ade8654a3c6d7536,2026-05-01,saved
Technical Support Analyst,Robert Half,Unknown Location,N/A,N/A,N/A,"This job posting is for a current vacancy with our client.  In this role, you will be joining a well-established professional services firm. You will be a part of a large IT team, and help manage the IT infrastructure in their Toronto office.  What you will do and how you will make an impact …  Provide user support for Office 365 and Windows products.  Provide support for Tier 1 - Tier 2 issues. You will diagnose and resolve hardware/software issues for desktops, laptops, printers, and peripherals.  Troubleshoot and document issues related to Windows, Office 365, company-specific applications, and network connectivity.  Track equipment assignments and maintain accurate records in inventory systems.  Set up and support PCs, monitors, printers, VOIP phones, and other shared equipment.  Docum",,N/A,no,platform,https://ca.indeed.com/viewjob?jk=077257d66b48e18e&tk=1jn1kn2r9pdjh801&from=jobi2a&advn=8562485526198105&adid=458143249&ad=-6NYlbfkN0CkZrmoNIfNnv5K6heJNTgcHXgr0H7cYcF0-Q8gfPuoOXCpzVWnuceN6644YnAegcIl9WAX4kTxqGQDr8poRo3NZ9DbtllHApUDDG8fo-mDtaeIDXwM3QYCytDFtKniEPvCe3txsc6ngu9SCSHfyFic2aEpFRtnYKZlhgC1YmQqsbm2Y_3IqV-BUZ03Jdl2mL8UdpbFDhjCDdzxniZTiHa3ZE5TdlpA5xOZuNy70cLxb8Y8e1n57xWAuzNQiMhpBUCHFgl9Gof6Gk1pF0cucg9DP5bGcjClpfSzIYhh0g7kwbXGPQVDOYEs3S0JPuT8Ow6nLYbBNnNi_mj8E7_fIXpmoN3iHo4cHY2tOlhj5avbu2O_LMC7AFfc9AqYcHCOPl0yMrNhhIxgoHIiUA5Kcz4nTwalYfhDwvmknLNPYuQNgKyU2w3684bDhNbLsY_Ber2cCx5cyz3B63oHZmTLpyO_EnHhtWFf7Xo_8jEE0u8yvaqPhNd2cNPHWJEjVO80WJ3v1KlXJm_UGlbuUaVYYDilXkw3NUPv52gQIXVyUALY8GptXkAp4lFchBzRe6WQ733aPdohJF9iP7f55f2PYh1xvfxIstwl5LCN3jnNSO4YKw%3D%3D&sjdu=IyHYSXDh_4AN8NCrh509p-JlInlDcT1eKxVH2aGN3gTaqYAf6O-Bft-e5--TsPaYtV66PYbBBuXJmSbGdgsqCdlMhEOb3LNt48yXEeWecIA73XsgFzNrBfsueJqmRNIkfBc1AmLFFjxoojs5yZ-KqzQ2b9Il319ZICwwVIqdchs&acatk=1jnhj3m56i8rf802&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=UoKtGZLa3XLhkMRN7vvokA%3D%3D&jrtk=5-cmh1-1-1jn1kn12ij4nl802-077257d66b48e18e&xkcb=SoDu6_M3khhTuQAiKT1GbzkdCdPP&xpse=SoBa6_I3kxuBHmQEDR0PbzkdCdPP&xfps=a94b9306-9b75-4458-88be-c0570e2710e1,https://ca.indeed.com/viewjob?jk=077257d66b48e18e,2026-05-01,saved
Digital Marketing Intern (Content Design & AI Research),idig Marketing,Unknown Location,N/A,N/A,N/A,"Company Overview  iDIG Marketing specializes in delivering high-impact digital marketing and tailored technology solutions. We are a team that loves a challenge, seamlessly combining custom web development, data analytics, digital advertising, and content strategy to help our clients grow.  About the Role  iDIG Marketing is seeking a creative and detail-oriented Digital Marketing Intern to join our content team this summer. This is a hands-on role where you will support the development of content for a diverse range of clients, primarily in home service related industries like HVAC.  Working remotely, you will collaborate daily with our Lead Copywriter and Graphic Designer to assist in developing content, specifically visual creative, utilizing Adobe Creative Suite, similar software, and A","Self-Starter: The ability to manage multiple projects independently in a fast-paced, remote environment. | Digital Knowledge: A basic understanding of SEO and experience working within content management systems is a plus. | Task-Oriented: You are detail-oriented and capable of conducting thorough research to support the team. | Paid Agency Experience: Earn a wage while gaining full-time experience within a professional agency environment. | Portfolio Building: Work on real-world projects and live campaigns that you can showcase to future employers. | Remote Flexibility: Work from anywhere while remaining an active part of a collaborative creative team. | Mentorship: Work directly with senior copywriters and designers to hone your craft. | Paid time off",N/A,no,platform,https://ca.indeed.com/viewjob?jk=f81a090389062936&tk=1jn1kn2r9pdjh801&from=jobi2a&advn=8879967455330367&adid=460988436&ad=-6NYlbfkN0BizV9w9RP8DJOsLrioAAR5uLR_EJeTfraH-Z7X7XBVt5XS6mEmNpFvE2-phpZQkLTII5GqV2ISmIlK_Tme0A8y91hS0kdl_cmlSyXy2PGhDtSi_kDlV0rZXBDPp9v2Z4GKeaWEIfobFD5Ddq_Zmxr8E0-wgD86-ecBZIo15b-5vp-v8pbimcNgQEEIlxaRCmbqss2SKXBIVioVQK3Ztvf2-vAMJc62x_drQ3dGs9qSggB7Y8UE0hSLVwLrS6lAurxCdSHQRWZP8RE5QzFmd8O1u9jVJmvnXVx2MXHGz2yPFaBj_2I-h1AfCgGLX6xHiqob7IjjnHnBCk9jtTHseJlQbfHQ1pHWCYv2WcGrz1XhTTxYl5BEUmaHvOs6tWpWIzvNaedowSG1Pa6hGsYBrCAHzBcooqVVzSYgyD2jR6OpLoNSHGSutsia7nr-KeIPLIHqtF3rE5lDMpMDVZrp5Pqa_Mm8LSwwq1oMOeazD0RGF30lH8deytvjG3Hya4UvQ0U7uMFpQFc-90sERd7G50K-LeuiiXzZGMwrZJqUHjzjvmKo9R0JKh4-KV_wKj-i0LEL0u1cDsvX1tg_EsclA1rAXzGce0_0nmBDrE13Z9n4jX_ijWXotUOB&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=C3EPSzFlQw_QQY3ewHbkNQ%3D%3D&jrtk=5-cmh1-1-1jn1kn12ij4nl802-f81a090389062936&xkcb=SoC16_M3khhTuQgiKT0ObzkdCdPP&xpse=SoBH6_I3kxuAXQRblB0PbzkdCdPP&xfps=6a3a9640-dee5-4f02-8fbc-098a7c707c52,https://ca.indeed.com/viewjob?jk=f81a090389062936,2026-05-01,saved
Communications & Program Specialist,Coalition of Black Small & Medium Enterprises,"10 Research Drive, Regina, SK S4S 7J7",N/A,N/A,N/A,"Communications & Program Specialist (1 Year Term)  Location: Regina or Saskatoon, Saskatchewan (Hybrid)  Reports to: CEO, CoBSMEs  About the Organization  Coalition of Black Small & Medium Enterprises (COBSMEs) is a community-focused organization dedicated to supporting entrepreneurs and strengthening business networks through programs, events, and partnerships. Through community-outreach initiatives, we provide workshops, networking opportunities, and resources that support business growth and collaboration.  Position Summary  The Communications & Program Specialist supports program delivery while leading organizational communications and digital presence. This role blends program coordination, content creation, and social media management, while contributing to strong systems and consist","Diploma or post-secondary education in Communications, Marketing, Digital Media, or a related field | 2 to 4 years of experience in communications, social media management, or digital marketing | Proven experience managing multi-platform social media accounts | Strong organizational skills and ability to manage multiple priorities | Excellent written and verbal communication skills | Strong understanding of digital marketing and audience engagement strategies | Experience with graphic design tools such as Canva or Adobe Creative Suite | Experience in content creation including written, visual, and video",N/A,no,platform,https://ca.indeed.com/viewjob?jk=e07d18cd2547f1f2&q=social+media+specialist&l=Remote&tk=1jn1730ari3sp800&from=ja&alid=658300af059718548496a27b&g1tAS=true&xpse=SoCm67I3kxuaVdS4aR0LbzkdCdPP&xfps=c42e19f7-fb56-47ad-b7ca-eb9c798a6626&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jn1730ari3sp800&xkcb=SoBE67M3khGD8TUeZh0ObzkdCdPP,https://ca.indeed.com/viewjob?jk=e07d18cd2547f1f2,2026-05-01,saved
Social Media Manager & Content Creator (Freelance / Casual / Project-Based),Roots & Tales Clinic,Unknown Location,N/A,N/A,N/A,"About Us  Roots and Tales Clinic is a multidisciplinary mental health clinic based in Richmond Hill, Ontario, offering professional psychological support for children, teens, and adults. With a compassionate team of registered psychotherapists, social workers, and neurofeedback specialists, we are dedicated to supporting individuals at every stage of life. Learn more at rootsandtalesclinic.com.  As we continue to grow, we are looking for a skilled and passionate Social Media Manager to help us build and strengthen our online presence across Instagram, Facebook, TikTok, and Threads.  Responsibilities  Plan, create, and publish engaging content daily across Instagram, Facebook (Meta), and TikTok Produce short-form video content, reels, stories, carousels, and static posts aligned with our cl","Plan, create, and publish engaging content daily across Instagram, Facebook (Meta), and TikTok | Write compelling captions and scripts that are clear, warm, and accessible to a general audience | Utilize AI tools (such as Canva AI, CapCut, ChatGPT, and Meta AI) to streamline content production | Manage posting schedules using tools such as Meta Business Suite, Later, or Buffer | Track and report on key performance metrics including reach, engagement, and follower growth | Respond to comments and direct messages in a timely and professional manner | Stay current with platform algorithm changes, trends, and best practices in health and wellness content | Minimum 1–2 years of proven experience managing social media accounts professionally",info@rootsandtalesclinic.com,yes,email,https://ca.indeed.com/viewjob?jk=fbd7839cb235dae9&q=social+media+specialist&l=Remote&tk=1jn1730ari3sp800&from=ja&alid=658300af059718548496a27b&g1tAS=true&xpse=SoDv67I3kxuZrRSNjx0LbzkdCdPP&xfps=a2d803fd-a868-4dfa-b5ab-dd55d3f4c222&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jn1730ari3sp800&xkcb=SoCm67M3khGD8T0eZh0LbzkdCdPP,https://ca.indeed.com/viewjob?jk=fbd7839cb235dae9,2026-05-01,saved
Social Media Executive,VZ Media Corp.,Unknown Location,N/A,N/A,N/A,"We’re looking for a creative, hands-on content creator who can shoot engaging short-form video content on-site and also support the day-to-day execution of our social media channels. This role blends content creation, social coordination, and trend-driven storytelling.  You’ll be responsible for capturing authentic UGC-style content and helping ensure it’s properly organized, scheduled, and published across platforms like TikTok, Instagram, Facebook, and YouTube Shorts.  Key Responsibilities  Content Creation (UGC / Video Production)  Shoot short-form video content on-site (TikTok, Reels, Shorts, etc.) Capture product demos, lifestyle footage, behind-the-scenes content, and brand storytelling clips Follow creative briefs while contributing fresh ideas for content angles and hooks Ensure al","Shoot short-form video content on-site (TikTok, Reels, Shorts, etc.) | Capture product demos, lifestyle footage, behind-the-scenes content, and brand storytelling clips | Follow creative briefs while contributing fresh ideas for content angles and hooks | Ensure all raw footage is well-organized and delivered to the editing team | Occasionally appear on camera for UGC-style content if comfortable | Schedule and publish content across all social platforms | Manage weekly/monthly content calendars and posting schedules | Write engaging captions, hooks, and basic post copy optimized for engagement",N/A,no,platform,https://ca.indeed.com/viewjob?jk=fdf4804d3e400109&q=youtube+video+editing&tk=1jn0s21i22d4a001&from=ja&alid=64e7765355f0fe5ab73306b9&g1tAS=true&xpse=SoAe67I3kxuYjkAWgT0LbzkdCdPP&xfps=83679f8f-ef53-4988-930d-78cf500561a0&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jn0s21i22d4a001&xkcb=SoBq67M3kgwHk7arHB0LbzkdCdPP,https://ca.indeed.com/viewjob?jk=fdf4804d3e400109,2026-05-01,saved
Multimedia Brand Designer,Obsidian Group Inc.,Unknown Location,N/A,N/A,N/A,"About Us: Obsidian Group Inc. is a management company focused on developing, marketing, and managing hospitality and real estate interests. We are one of Canada’s leading, fastest growing and most progressive hospitality companies. We love hospitality, and as a restaurant Franchisor, we are rapidly growing our restaurant outlets across Canada.  Key Responsibilities  Lead the entire visual design process — from concept development to final handoff — for marketing campaigns, digital assets, menus, and promotional materials across all restaurant brands. Conceptualize and execute original design ideas, imagery, and user interfaces that enhance simplicity, usability, and guest engagement across print and digital media. Leverage AI platforms such as Claude, Adobe Firefly, Midjourney, and Figma A",Must have experience with Web and Graphic Design. | Dental care | Extended health care | Life insurance | On-site parking | Paid time off,N/A,no,platform,https://ca.indeed.com/viewjob?jk=8a334ec21b3c64ab&q=web+designer&l=North+York%2C+ON&tk=1jn09ngueg9sp800&from=ja&advn=6055742867211696&adid=460853661&ad=-6NYlbfkN0BXxXIbvDp6WU1JkhieDZwIookaGQLGBDu1KVLmbdK24bdCPO0XVXwNUVAgN-qVT8Igo0ykQp7m8Mcw6e_mP4ZI0jD220ebUuExyIu-Dnn8ZQg8XA5VSooM-vXwVvxDSJTxoFCoEnMgLrSt38NrxEeZOk2t2xH0oe2FQ2fpzHhxrIq18yaMib880BFf73Zs_E9zREjHzGVF1_beFht8gNaT7VZVlKlZjxVXdRixpOVbcgFi2IIya6lhYYbVzuCdf7F6buTnONBGUOXl_9aAxSArPXFttUK7cmH7JY52FmqrmDK5dN-YMu7rWGvYPd5ZMaOUCxXk8sxyJ3arTlyQHJlpkDGFdgSkAxIARTm7OdmpxLTMlZAfx4ZRjhB3lYlwMev2fUWwWnb850atYWgIQI1kcxRQuNo3ZeZ6LVbiOzX5rmCElgPxvA7uJTzuHu96FMyiH8AXrzjTBgRjR7s-ZkCPSxLlC2F10wACJZeW7v-JRXZGzYHwdTXu35GV2Rzt_MHYISeuBhLLez4cLeJg0BH4v1m26hlz3wGFg9xoKJJPkL4pwkToWQCd0-5jWEv6gQJpmy_FMGhoYA%3D%3D&alid=682c8e73b121ee5d01cdb8b4&pub=4a1b367933fd867b19b072952f68dceb&camk=C3EPSzFlQw_nTYElTXaXJA%3D%3D&xkcb=SoCg6_M3kgbR7Lgk5z0LbzkdCdPP&xpse=SoBv6_I3kxuW37AWgT0NbzkdCdPP&xfps=884c9958-5ea1-4c05-ac46-3b4c7cfdaf63&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails,https://ca.indeed.com/viewjob?jk=8a334ec21b3c64ab,2026-05-01,saved
Digital Designer - Freelance,Elite Digital Inc.,Unknown Location,N/A,N/A,N/A,"We are looking for an experienced, multi-skilled Freelance Digital Designer, with experience in UX design and social media content creation. You will thrive in a multifaceted, fast-paced, and team-oriented environment. This is a perfect role for a digital marketing savvy, versatile team player who wants to make their mark and be a key contributor to success and scalability in this award-winning and growing digital marketing agency.   JOB SUMMARY  As a Digital Designer for Elite Digital, you will work on the Creative Design team to develop compelling visual and written content that resonates with diverse audiences across various platforms. This role demands a high level of creativity, resourcefulness, attention to detail, and a keen understanding of digital marketing and social media dynami","Tailor content strategies to suit a diverse range of industries, including consumer, B2B and pharma sectors. | Craft compelling written content that engages and grows social media audiences. | Occasionally, meet with clients to share strategy, concepts and results. | Bachelor’s degree in Marketing, Graphic Design, Communications, or a related field, or equivalent experience. | Prior experience working in an agency or fast-paced, multi-client environment is strongly preferred. | Exceptional attention to detail, with a strong focus on clean, precise, and production-ready design files. | Experience creating video content for social media platforms (Instagram, TikTok) | Excellent copywriting and communication skills.",N/A,no,platform,https://ca.indeed.com/viewjob?jk=43151f1ef3c084f4&q=web+designer&l=North+York%2C+ON&tk=1jn09ngueg9sp800&from=ja&alid=682c8e73b121ee5d01cdb8b4&g1tAS=true&xpse=SoAe67I3kxuWWzW0MZ0LbzkdCdPP&xfps=86e90ccc-6144-4487-aa7a-31aec8be0938&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jn09ngueg9sp800&xkcb=SoAd67M3kgbR4nzPrh0JbzkdCdPP,https://ca.indeed.com/viewjob?jk=43151f1ef3c084f4,2026-05-01,saved
